3/23/2026, 1:52:56 PM	0x13F	00	0F	41	00	-	-	-	-	00	0F	4C	00	-	-	-	-
3/23/2026, 1:52:56 PM	0x3B9	00	00	00	00	26	28	-	-	00	00	00	00	29	28	-	-
3/23/2026, 1:52:54 PM	0x13F	00	0F	3A	00	-	-	-	-	00	0F	41	00	-	-	-	-
3/23/2026, 1:52:49 PM	0x13F	00	0F	36	00	-	-	-	-	00	0F	3A	00	-	-	-	-
3/23/2026, 1:52:48 PM	0x3B9	00	00	00	00	2A	28	-	-	00	00	00	00	26	28	-	-
3/23/2026, 1:52:47 PM	0x13F	00	0F	24	00	-	-	-	-	00	0F	36	00	-	-	-	-
3/23/2026, 1:52:45 PM	0x13F	00	0F	0E	00	-	-	-	-	00	0F	24	00	-	-	-	-
3/23/2026, 1:52:41 PM	0x3B9	00	00	00	00	29	28	-	-	00	00	00	00	2A	28	-	-
3/23/2026, 1:52:40 PM	0x13F	00	0F	3F	00	-	-	-	-	00	0F	0E	00	-	-	-	-
3/23/2026, 1:52:38 PM	0x13F	00	0F	39	00	-	-	-	-	00	0F	3F	00	-	-	-	-
3/23/2026, 1:52:36 PM	0x13F	00	0F	25	00	-	-	-	-	00	0F	39	00	-	-	-	-
3/23/2026, 1:52:33 PM	0x13F	00	0F	3A	00	-	-	-	-	00	0F	25	00	-	-	-	-
3/23/2026, 1:52:29 PM	0x13F	00	0F	35	00	-	-	-	-	00	0F	3A	00	-	-	-	-
3/23/2026, 1:52:28 PM	0x13F	00	0F	1A	00	-	-	-	-	00	0F	35	00	-	-	-	-
3/23/2026, 1:52:23 PM	0x13F	00	0F	35	00	-	-	-	-	00	0F	1A	00	-	-	-	-
3/23/2026, 1:52:20 PM	0x13F	00	0F	22	00	-	-	-	-	00	0F	35	00	-	-	-	-
3/23/2026, 1:52:16 PM	0x13F	00	0F	0D	00	-	-	-	-	00	0F	22	00	-	-	-	-
3/23/2026, 1:52:15 PM	0x13F	00	0F	10	00	-	-	-	-	00	0F	0D	00	-	-	-	-
3/23/2026, 1:52:13 PM	0x13F	00	0E	F7	00	-	-	-	-	00	0F	10	00	-	-	-	-
3/23/2026, 1:52:08 PM	0x13F	00	0E	EA	00	-	-	-	-	00	0E	F7	00	-	-	-	-
3/23/2026, 1:52:06 PM	0x13F	00	0F	18	00	-	-	-	-	00	0E	EA	00	-	-	-	-
3/23/2026, 1:52:05 PM	0x3B9	00	00	00	00	2A	28	-	-	00	00	00	00	29	28	-	-
3/23/2026, 1:52:04 PM	0x13F	00	0F	3D	00	-	-	-	-	00	0F	18	00	-	-	-	-
3/23/2026, 1:51:59 PM	0x13F	00	0F	2E	00	-	-	-	-	00	0F	3D	00	-	-	-	-
3/23/2026, 1:51:58 PM	0x3B9	00	00	00	00	27	28	-	-	00	00	00	00	2A	28	-	-
3/23/2026, 1:51:57 PM	0x13F	00	0F	39	00	-	-	-	-	00	0F	2E	00	-	-	-	-
3/23/2026, 1:51:55 PM	0x13F	00	0F	20	00	-	-	-	-	00	0F	39	00	-	-	-	-
3/23/2026, 1:51:52 PM	0x13F	00	0F	0C	00	-	-	-	-	00	0F	20	00	-	-	-	-
3/23/2026, 1:51:51 PM	0x3B9	00	00	00	00	29	28	-	-	00	00	00	00	27	28	-	-
3/23/2026, 1:51:48 PM	0x13F	00	0F	43	00	-	-	-	-	00	0F	0C	00	-	-	-	-
